Group_ID,Dyad_ID,IndividualA_ID,IndividualB_ID,Year,DSI,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB
1,54,26,8,2011,0.376,0.000,maternal non-kin,0.600,0.900,0.700,0.929,0.887,1,0,0,0
1,55,27,8,2005,0.236,0.000,maternal non-kin,10.900,0.250,0.000,NA,NA,0,0,0,0
1,55,27,8,2006,2.314,0.000,maternal non-kin,10.900,0.000,0.400,NA,NA,0,1,0,0
1,55,27,8,2007,0.606,0.000,maternal non-kin,10.900,0.167,0.500,NA,NA,0,0,1,0
1,55,27,8,2008,1.621,0.000,maternal non-kin,10.900,0.333,0.667,NA,NA,0,1,0,0
1,55,27,8,2009,0.000,0.000,maternal non-kin,10.900,0.222,0.778,0.609,0.809,0,0,0,1
1,55,27,8,2010,0.440,0.000,maternal non-kin,10.900,0.300,0.700,0.740,0.845,0,1,0,0
1,55,27,8,2011,0.276,0.000,maternal non-kin,10.900,0.200,0.700,0.731,0.887,0,0,0,0
1,56,28,8,2009,1.594,0.000,maternal non-kin,2.800,0.667,0.778,0.969,0.809,1,0,0,1
1,56,28,8,2010,1.845,0.000,maternal non-kin,2.800,0.800,0.700,0.882,0.845,0,0,0,0
1,56,28,8,2011,0.332,0.000,maternal non-kin,2.800,0.800,0.700,0.940,0.887,0,0,0,0
