Group_ID,Dyad_ID,IndividualA_ID,IndividualB_ID,Year,DSI,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB
1,149,30,29,2010,0.390,0.102,paternal sib,2.200,0.500,1.000,0.692,0.956,0,0,0,0
1,149,30,29,2011,0.597,0.102,paternal sib,2.200,0.400,1.000,0.863,0.976,0,0,0,1
1,150,32,29,2005,0.237,0.173,paternal sib,0.500,0.500,1.000,NA,NA,0,0,1,0
1,150,32,29,2006,0.479,0.173,paternal sib,0.500,0.200,1.000,NA,NA,0,1,0,0
1,150,32,29,2007,0.085,0.173,paternal sib,0.500,0.333,1.000,NA,NA,0,1,0,1
1,150,32,29,2008,0.226,0.173,paternal sib,0.500,0.000,1.000,NA,NA,0,0,0,1
1,150,32,29,2009,0.107,0.173,paternal sib,0.500,0.111,1.000,0.619,0.879,0,0,0,0
1,150,32,29,2010,0.370,0.173,paternal sib,0.500,0.200,1.000,0.602,0.956,0,0,0,0
1,150,32,29,2011,0.338,0.173,paternal sib,0.500,0.100,1.000,0.875,0.976,0,0,0,1
1,151,32,30,2005,1.493,0.565,full sib,2.700,0.500,0.750,NA,NA,0,0,0,1
1,151,32,30,2006,0.454,0.565,full sib,2.700,0.200,0.800,NA,NA,0,1,0,1
1,151,32,30,2007,0.879,0.565,full sib,2.700,0.333,0.667,NA,NA,0,1,1,0
1,151,32,30,2008,0.522,0.565,full sib,2.700,0.000,0.500,NA,NA,0,0,0,0
1,151,32,30,2009,1.098,0.565,full sib,2.700,0.111,0.444,0.619,0.591,0,0,1,0
1,151,32,30,2010,1.306,0.565,full sib,2.700,0.200,0.500,0.602,0.692,0,0,0,0
1,151,32,30,2011,0.535,0.565,full sib,2.700,0.100,0.400,0.875,0.863,0,0,0,0
