IndividualA_ID,IndividualB_ID,Year,DSI,Log,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Rank Difference,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB,Male Infant Present,Female Infant Present
28,11,2010,0.232,-0.478861916,0.132,maternal non-kin,0.8,0.8,0.6,0.2,0.882,0.758,0,0,0,0,0,0
28,11,2011,1.178,0.106530854,0.132,maternal non-kin,0.8,0.8,0.5,0.3,0.94,0.875,0,0,0,0,0,0
29,11,2007,2.173,0.356599436,0.164,maternal non-kin,3.7,1,0,1,NA,NA,0,1,0,0,0,1
29,11,2008,1.147,0.095866453,0.164,maternal non-kin,3.7,1,0.167,0.833,NA,NA,0,1,0,0,0,1
29,11,2009,0.398,-0.302770657,0.164,maternal non-kin,3.7,1,0.556,0.444,0.879,0.81,0,0,0,0,0,0
29,11,2010,0.973,0.030599722,0.164,maternal non-kin,3.7,1,0.6,0.4,0.956,0.758,0,0,0,0,0,0
29,11,2011,1.875,0.2955671,0.164,maternal non-kin,3.7,1,0.5,0.5,0.976,0.875,0,1,0,0,0,1
30,11,2007,0.946,0.019531685,0,maternal non-kin,6,0.667,0,0.667,NA,NA,1,0,0,0,1,0
30,11,2008,0.686,-0.104577454,0,maternal non-kin,6,0.5,0.167,0.333,NA,NA,0,0,0,0,0,0
30,11,2009,0.106,-0.68613278,0,maternal non-kin,6,0.444,0.556,0.112,0.591,0.81,1,0,0,0,1,0
30,11,2010,0.489,-0.229884705,0,maternal non-kin,6,0.5,0.6,0.1,0.692,0.758,0,0,0,0,0,0
30,11,2011,1.549,0.217220656,0,maternal non-kin,6,0.4,0.5,0.1,0.863,0.875,0,0,0,0,0,0
32,11,2007,0.868,-0.014124643,0.047,maternal non-kin,3.2,0.333,0,0.333,NA,NA,0,1,0,0,0,1
32,11,2008,0.183,-0.548213564,0.047,maternal non-kin,3.2,0,0.167,0.167,NA,NA,0,0,0,0,0,0
32,11,2009,0.106,-0.68613278,0.047,maternal non-kin,3.2,0.111,0.556,0.445,0.619,0.81,0,0,0,0,0,0
32,11,2010,0.516,-0.210419288,0.047,maternal non-kin,3.2,0.2,0.6,0.4,0.602,0.758,0,0,0,0,0,0
32,11,2011,0.651,-0.124360063,0.047,maternal non-kin,3.2,0.1,0.5,0.4,0.875,0.875,0,0,0,0,0,0
13,12,2007,0.237,-0.472370099,0.166,maternal non-kin,4.9,1,0,1,NA,NA,0,0,0,0,0,0
13,12,2008,0.441,-0.266802735,0.166,maternal non-kin,4.9,1,0,1,NA,NA,0,0,0,0,0,0
13,12,2009,0.345,-0.351639989,0.166,maternal non-kin,4.9,1,0,1,0.959,0.894,0,0,1,0,1,0
13,12,2010,0.209,-0.510041521,0.166,maternal non-kin,4.9,1,0,1,0.939,0.774,0,0,0,0,0,0
13,12,2011,0.109,-0.679853714,0.166,maternal non-kin,4.9,1,0,1,0.969,0.921,0,0,0,0,0,0
14,12,2007,0.263,-0.440093375,0.247,maternal non-kin,8.9,0.667,0,0.667,NA,NA,1,0,0,0,1,0
14,12,2008,0.457,-0.254144805,0.247,maternal non-kin,8.9,0.556,0,0.556,NA,NA,1,0,0,0,1,0
14,12,2009,0.775,-0.057991947,0.247,maternal non-kin,8.9,0.5,0,0.5,0.929,0.894,0,0,1,0,1,0
14,12,2010,0.975,0.031408464,0.247,maternal non-kin,8.9,0.444,0,0.444,0.8,0.774,0,0,0,0,0,0
14,12,2011,0.543,-0.191789027,0.247,maternal non-kin,8.9,0.556,0,0.556,0.917,0.921,0,0,0,0,0,0
15,12,2007,0.421,-0.283162277,0.351,maternal non-kin,16.9,0.889,0,0.889,NA,NA,0,1,0,0,0,1
15,12,2008,0.737,-0.077274542,0.351,maternal non-kin,16.9,0.889,0,0.889,NA,NA,0,1,0,0,0,1
15,12,2009,1.286,0.14176323,0.351,maternal non-kin,16.9,0.9,0,0.9,0.887,0.894,0,1,1,0,1,1
16,12,2007,0.039,-0.8569852,0.035,maternal non-kin,14.9,0.778,0,0.778,NA,NA,1,0,0,0,1,0
16,12,2008,0.47,-0.244125144,0.035,maternal non-kin,14.9,0.778,0,0.778,NA,NA,1,0,0,0,1,0
16,12,2009,0.27,-0.431798276,0.035,maternal non-kin,14.9,0.6,0,0.6,0.929,0.894,1,0,1,0,1,0
16,12,2010,0.107,-0.684029655,0.035,maternal non-kin,14.9,0.556,0,0.556,0.711,0.774,0,0,0,0,0,0
16,12,2011,0.256,-0.448550002,0.035,maternal non-kin,14.9,0.667,0,0.667,0.834,0.921,1,0,0,0,1,0
17,12,2007,1.173,0.104828404,0,Excluded from model testing for effect of kinship categories,6.9,0.222,0,0.222,NA,NA,0,0,0,0,0,0
17,12,2008,1.438,0.186956335,0,Excluded from model testing for effect of kinship categories,6.9,0.222,0,0.222,NA,NA,0,0,0,0,0,0
17,12,2009,0.674,-0.111259039,0,Excluded from model testing for effect of kinship categories,6.9,0.2,0,0.2,0.818,0.894,0,0,1,0,1,0
17,12,2010,1.261,0.133858125,0,Excluded from model testing for effect of kinship categories,6.9,0.222,0,0.222,0.83,0.774,1,0,0,0,1,0
17,12,2011,1.475,0.197280558,0,Excluded from model testing for effect of kinship categories,6.9,0.222,0,0.222,0.851,0.921,0,0,0,0,0,0
20,12,2009,0.075,-0.756961951,0.409,maternal sib,1.2,0.1,0,0.1,0.844,0.894,1,0,1,0,1,0
20,12,2010,0,-1,0.409,maternal sib,1.2,0.111,0,0.111,0.822,0.774,1,0,0,0,1,0
20,12,2011,0.899,-0.000434512,0.409,maternal sib,1.2,0.111,0,0.111,0.921,0.921,0,0,0,0,0,0
21,12,2007,0.226,-0.4867824,0.179,maternal non-kin,2.5,0.556,0,0.556,NA,NA,0,0,0,0,0,0
21,12,2008,0.352,-0.344861565,0.179,maternal non-kin,2.5,0.667,0,0.667,NA,NA,0,0,0,0,0,0
21,12,2009,0.675,-0.110698297,0.179,maternal non-kin,2.5,0.7,0,0.7,0.915,0.894,0,0,1,0,1,0
21,12,2010,0.413,-0.289882635,0.179,maternal non-kin,2.5,0.778,0,0.778,0.889,0.774,0,0,0,0,0,0
21,12,2011,0.053,-0.815308569,0.179,maternal non-kin,2.5,0.778,0,0.778,0.95,0.921,0,1,0,0,0,1
23,12,2007,0.885,-0.00656377,0.373,maternal non-kin,0.9,0.444,0,0.444,NA,NA,0,0,0,0,0,0
23,12,2008,0.576,-0.170053304,0.373,maternal non-kin,0.9,0.444,0,0.444,NA,NA,1,0,0,0,1,0
23,12,2009,1.026,0.051538391,0.373,maternal non-kin,0.9,0.4,0,0.4,0.789,0.894,0,1,1,0,1,1
23,12,2010,1.323,0.1532049,0.373,maternal non-kin,0.9,0.667,0,0.667,0.9,0.774,0,1,0,0,0,1
23,12,2011,0.457,-0.254144805,0.373,maternal non-kin,0.9,0.444,0,0.444,0.911,0.921,0,0,0,0,0,0
