IndividualA_ID,IndividualB_ID,Year,DSI,Log,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Rank Difference,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB,Male Infant Present,Female Infant Present
24,17,2007,0.904,0.001733713,0.026,Excluded from model testing for effect of kinship categories,12,0.111,0.222,0.111,NA,NA,1,0,0,0,1,0
24,17,2008,0.389,-0.310691141,0.026,Excluded from model testing for effect of kinship categories,12,0.111,0.222,0.111,NA,NA,1,0,0,0,1,0
26,18,2009,0.651,-0.124360063,0.128,paternal sib,3.2,0.889,0,0.889,0.841,0.729,0,0,0,0,0,0
26,18,2010,2.211,0.363799945,0.128,paternal sib,3.2,0.9,0.1,0.8,0.951,0.921,0,0,1,0,1,0
26,18,2011,1.624,0.236537261,0.128,paternal sib,3.2,0.9,0.6,0.3,0.929,0.887,1,0,1,0,1,0
27,18,2009,0.39,-0.30980392,0.5,mother-offspring,14.8,0.222,0,0.222,0.609,0.729,0,0,0,0,0,0
27,18,2010,1.528,0.211654401,0.5,mother-offspring,14.8,0.3,0.1,0.2,0.74,0.921,0,1,1,0,1,1
27,18,2011,1.521,0.209783015,0.5,mother-offspring,14.8,0.2,0.6,0.4,0.731,0.887,0,0,1,0,1,0
28,18,2009,0.103,-0.692503962,0.131,paternal sib,1,0.667,0,0.667,0.969,0.729,1,0,0,0,1,0
28,18,2010,2.267,0.374198258,0.131,paternal sib,1,0.8,0.1,0.7,0.882,0.921,0,0,1,0,1,0
28,18,2011,1.092,0.076276255,0.131,paternal sib,1,0.8,0.6,0.2,0.94,0.887,0,0,1,0,1,0
29,18,2009,0,-1,0.274,paternal sib,5.6,1,0,1,0.879,0.729,0,0,0,0,0,0
29,18,2010,2.687,0.445136969,0.274,paternal sib,5.6,1,0.1,0.9,0.956,0.921,0,0,1,0,1,0
29,18,2011,0.9,0,0.274,paternal sib,5.6,1,0.6,0.4,0.976,0.887,0,1,1,0,1,1
30,18,2009,0.437,-0.270025714,0.487,full sib,7.8,0.444,0,0.444,0.591,0.729,1,0,0,0,1,0
30,18,2010,1.344,0.159567193,0.487,full sib,7.8,0.5,0.1,0.4,0.692,0.921,0,0,1,0,1,0
30,18,2011,1.649,0.242789809,0.487,full sib,7.8,0.4,0.6,0.2,0.863,0.887,0,0,1,0,1,0
32,18,2009,0.332,-0.364516253,0.274,full sib,5.1,0.111,0,0.111,0.619,0.729,0,0,0,0,0,0
32,18,2010,2.76,0.456366033,0.274,full sib,5.1,0.2,0.1,0.1,0.602,0.921,0,0,1,0,1,0
32,18,2011,0.164,-0.578396073,0.274,full sib,5.1,0.1,0.6,0.5,0.875,0.887,0,0,1,0,1,0
22,19,2010,0.677,-0.109578981,0.37,maternal non-kin,2,0.286,0,0.286,0.754,0.896,1,0,0,0,1,0
22,19,2011,0.198,-0.525783736,0.37,maternal non-kin,2,0.167,0,0.167,0.828,0.837,0,0,0,0,0,0
25,19,2010,1.298,0.145507171,0.5,mother-offspring,9.1,0.714,0,0.714,0.812,0.896,1,0,0,0,1,0
25,19,2011,1.738,0.264345507,0.5,mother-offspring,9.1,0.5,0,0.5,0.83,0.837,0,0,0,0,0,0
31,19,2010,1.29,0.1430148,0.391,paternal sib,0.4,0.143,0,0.143,0.817,0.896,0,0,0,0,0,0
21,20,2009,0.42,-0.283996656,0.31,maternal non-kin,3.6,0.7,0.1,0.6,0.915,0.844,0,0,1,0,1,0
21,20,2010,0,-1,0.31,maternal non-kin,3.6,0.778,0.111,0.667,0.889,0.822,0,0,1,0,1,0
21,20,2011,0.338,-0.358525889,0.31,maternal non-kin,3.6,0.778,0.111,0.667,0.95,0.921,0,1,0,0,0,1
23,20,2009,0.836,-0.028724151,0.078,maternal non-kin,2.1,0.4,0.1,0.3,0.789,0.844,0,1,1,0,1,1
23,20,2010,0.851,-0.021819483,0.078,maternal non-kin,2.1,0.667,0.111,0.556,0.9,0.822,0,1,1,0,1,1
23,20,2011,0.883,-0.007446482,0.078,maternal non-kin,2.1,0.444,0.111,0.333,0.911,0.921,0,0,0,0,0,0
23,21,2007,0.386,-0.313363731,0.02,paternal sib,1.6,0.444,0.556,0.112,NA,NA,0,0,0,0,0,0
23,21,2008,1.054,0.062205809,0.02,paternal sib,1.6,0.444,0.667,0.223,NA,NA,1,0,0,0,1,0
23,21,2009,1.605,0.231724383,0.02,paternal sib,1.6,0.4,0.7,0.3,0.789,0.915,0,1,0,0,0,1
23,21,2010,0.64,-0.13076828,0.02,paternal sib,1.6,0.667,0.778,0.111,0.9,0.889,0,1,0,0,0,1
23,21,2011,0.476,-0.239577517,0.02,paternal sib,1.6,0.444,0.778,0.334,0.911,0.95,0,0,0,1,0,1
24,21,2007,1.246,0.12904506,0.029,maternal non-kin,16.5,0.111,0.556,0.445,NA,NA,1,0,0,0,1,0
24,21,2008,0.384,-0.315154638,0.029,maternal non-kin,16.5,0.111,0.667,0.556,NA,NA,1,0,0,0,1,0
25,22,2009,0.916,0.006893708,0.273,maternal sib,7.1,0.6,0,0.6,0.75,0.851,0,0,1,0,1,0
25,22,2010,0.148,-0.605548319,0.273,maternal sib,7.1,0.714,0.286,0.428,0.812,0.754,1,0,1,0,1,0
25,22,2011,0.266,-0.436518915,0.273,maternal sib,7.1,0.5,0.167,0.333,0.83,0.828,0,0,0,0,0,0
31,22,2010,0.481,-0.235823868,0.5,maternal sib,1.5,0.143,0.286,0.143,0.817,0.754,0,0,1,0,1,0
24,23,2007,0.316,-0.380906669,0,Excluded from model testing for effect of kinship categories,18.1,0.111,0.444,0.333,NA,NA,1,0,0,0,1,0
24,23,2008,0.209,-0.510041521,0,Excluded from model testing for effect of kinship categories,18.1,0.111,0.444,0.333,NA,NA,1,0,1,0,1,0
31,25,2010,0.033,-0.876148359,0.242,maternal sib,8.7,0.143,0.714,0.571,0.817,0.812,0,0,1,0,1,0
27,26,2006,1.604,0.23146959,0.075,maternal non-kin,11.6,0,0.6,0.6,NA,NA,0,1,0,0,0,1
27,26,2007,0.041,-0.850780887,0.075,maternal non-kin,11.6,0.167,0.833,0.666,NA,NA,0,0,0,1,0,1
27,26,2008,0.97,0.029383778,0.075,maternal non-kin,11.6,0.333,0.833,0.5,NA,NA,0,1,0,0,0,1
27,26,2009,0.284,-0.415668776,0.075,maternal non-kin,11.6,0.222,0.889,0.667,0.609,0.841,0,0,0,0,0,0
27,26,2010,0.3,-0.397940009,0.075,maternal non-kin,11.6,0.3,0.9,0.6,0.74,0.951,0,1,0,0,0,1
27,26,2011,0.209,-0.510041521,0.075,maternal non-kin,11.6,0.2,0.9,0.7,0.731,0.929,0,0,1,0,1,0
28,26,2009,3.068,0.500785173,0.497,paternal sib,2.2,0.667,0.889,0.222,0.969,0.841,1,0,0,0,1,0
28,26,2010,1.406,0.177824972,0.497,paternal sib,2.2,0.8,0.9,0.1,0.882,0.951,0,0,0,0,0,0
28,26,2011,1.716,0.259115844,0.497,paternal sib,2.2,0.8,0.9,0.1,0.94,0.929,0,0,1,0,1,0
29,26,2006,0.909,0.003891166,0.572,full sib,2.4,1,0.6,0.4,NA,NA,0,0,0,0,0,0
29,26,2007,1.628,0.237543738,0.572,full sib,2.4,1,0.833,0.167,NA,NA,0,1,0,1,0,1
29,26,2008,2.02,0.326335861,0.572,full sib,2.4,1,0.833,0.167,NA,NA,0,1,0,0,0,1
29,26,2009,2.362,0.391288049,0.572,full sib,2.4,1,0.889,0.111,0.879,0.841,0,0,0,0,0,0
29,26,2010,2.617,0.434089638,0.572,full sib,2.4,1,0.9,0.1,0.956,0.951,0,0,0,0,0,0
29,26,2011,5.32,0.733999287,0.572,full sib,2.4,1,0.9,0.1,0.976,0.929,0,1,1,0,1,1
30,26,2006,0.771,-0.059981845,0,paternal sib,4.6,0.8,0.6,0.2,NA,NA,0,1,0,0,0,1
30,26,2007,1.597,0.229681842,0,paternal sib,4.6,0.667,0.833,0.166,NA,NA,1,0,0,1,1,1
30,26,2008,0.733,-0.079354999,0,paternal sib,4.6,0.5,0.833,0.333,NA,NA,0,0,0,0,0,0
30,26,2009,0.255,-0.449771647,0,paternal sib,4.6,0.444,0.889,0.445,0.591,0.841,1,0,0,0,1,0
30,26,2010,0.279,-0.42136079,0,paternal sib,4.6,0.5,0.9,0.4,0.692,0.951,0,0,0,0,0,0
30,26,2011,0,-1,0,paternal sib,4.6,0.4,0.9,0.5,0.863,0.929,0,0,1,0,1,0
32,26,2006,0.956,0.023663918,0.331,paternal sib,1.9,0.2,0.6,0.4,NA,NA,0,1,0,0,0,1
32,26,2007,0.121,-0.655607726,0.331,paternal sib,1.9,0.333,0.833,0.5,NA,NA,0,1,0,1,0,1
32,26,2008,0.544,-0.191114133,0.331,paternal sib,1.9,0,0.833,0.833,NA,NA,0,0,0,0,0,0
32,26,2009,0,-1,0.331,paternal sib,1.9,0.111,0.889,0.778,0.619,0.841,0,0,0,0,0,0
32,26,2010,0,-1,0.331,paternal sib,1.9,0.2,0.9,0.7,0.602,0.951,0,0,0,0,0,0
32,26,2011,0.061,-0.793174124,0.331,paternal sib,1.9,0.1,0.9,0.8,0.875,0.929,0,0,1,0,1,0
28,27,2009,0,-1,0.083,maternal non-kin,13.7,0.667,0.222,0.445,0.969,0.609,1,0,0,0,1,0
28,27,2010,0.224,-0.48945499,0.083,maternal non-kin,13.7,0.8,0.3,0.5,0.882,0.74,0,0,0,1,0,1
28,27,2011,0.461,-0.251037139,0.083,maternal non-kin,13.7,0.8,0.2,0.6,0.94,0.731,0,0,0,0,0,0
29,27,2005,0.123,-0.651695137,0.113,maternal non-kin,9.2,1,0.25,0.75,NA,NA,1,0,0,0,1,0
29,27,2006,1.093,0.076640444,0.113,maternal non-kin,9.2,1,0,1,NA,NA,0,0,0,1,0,1
29,27,2007,0.261,-0.442492798,0.113,maternal non-kin,9.2,1,0.167,0.833,NA,NA,0,1,0,0,0,1
29,27,2008,1.576,0.224274014,0.113,maternal non-kin,9.2,1,0.333,0.667,NA,NA,0,1,0,1,0,1
29,27,2009,0.097,-0.705533774,0.113,maternal non-kin,9.2,1,0.222,0.778,0.879,0.609,0,0,0,0,0,0
29,27,2010,0,-1,0.113,maternal non-kin,9.2,1,0.3,0.7,0.956,0.74,0,0,0,1,0,1
29,27,2011,0.109,-0.679853714,0.113,maternal non-kin,9.2,1,0.2,0.8,0.976,0.731,0,1,0,0,0,1
30,27,2005,1.474,0.197004728,0.567,mother-offspring,6.9,0.75,0.25,0.5,NA,NA,0,1,0,0,0,1
30,27,2006,1.591,0.228143608,0.567,mother-offspring,6.9,0.8,0,0.8,NA,NA,0,1,0,1,0,1
30,27,2007,1.371,0.167612673,0.567,mother-offspring,6.9,0.667,0.167,0.5,NA,NA,1,0,0,0,1,0
30,27,2008,1.127,0.088844563,0.567,mother-offspring,6.9,0.5,0.333,0.167,NA,NA,0,0,0,1,0,1
30,27,2009,1.815,0.282168778,0.567,mother-offspring,6.9,0.444,0.222,0.222,0.591,0.609,1,0,0,0,1,0
30,27,2010,3.068,0.500785173,0.567,mother-offspring,6.9,0.5,0.3,0.2,0.692,0.74,0,0,0,1,0,1
30,27,2011,2.209,0.363423933,0.567,mother-offspring,6.9,0.4,0.2,0.2,0.863,0.731,0,0,0,0,0,0
32,27,2005,0.92,0.008600172,0.5,mother-offspring,9.6,0.5,0.25,0.25,NA,NA,0,0,0,0,0,0
32,27,2006,0.921,0.009025742,0.5,mother-offspring,9.6,0.2,0,0.2,NA,NA,0,1,0,1,0,1
32,27,2007,0.704,-0.094743951,0.5,mother-offspring,9.6,0.333,0.167,0.166,NA,NA,0,1,0,0,0,1
32,27,2008,1.512,0.207365037,0.5,mother-offspring,9.6,0,0.333,0.333,NA,NA,0,0,0,1,0,1
32,27,2009,0.887,-0.005682847,0.5,mother-offspring,9.6,0.111,0.222,0.111,0.619,0.609,0,0,0,0,0,0
32,27,2010,0.102,-0.694648631,0.5,mother-offspring,9.6,0.2,0.3,0.1,0.602,0.74,0,0,0,1,0,1
32,27,2011,0.578,-0.168770306,0.5,mother-offspring,9.6,0.1,0.2,0.1,0.875,0.731,0,0,0,0,0,0
29,28,2009,2.469,0.409764104,0.457,paternal sib,4.6,1,0.667,0.333,0.879,0.969,0,0,1,0,1,0
29,28,2010,2.779,0.459241665,0.457,paternal sib,4.6,1,0.8,0.2,0.956,0.882,0,0,0,0,0,0
29,28,2011,4.34,0.64738297,0.457,paternal sib,4.6,1,0.8,0.2,0.976,0.94,0,1,0,0,0,1
30,28,2009,0.81,-0.040958608,0.123,paternal sib,6.8,0.444,0.667,0.223,0.591,0.969,1,0,1,0,1,0
30,28,2010,0.473,-0.241845378,0.123,paternal sib,6.8,0.5,0.8,0.3,0.692,0.882,0,0,0,0,0,0
30,28,2011,0.058,-0.801342913,0.123,paternal sib,6.8,0.4,0.8,0.4,0.863,0.94,0,0,0,0,0,0
32,28,2009,0.207,-0.512861625,0.342,paternal sib,4.1,0.111,0.667,0.556,0.619,0.969,0,0,1,0,1,0
32,28,2010,0.518,-0.209011525,0.342,paternal sib,4.1,0.2,0.8,0.6,0.602,0.882,0,0,0,0,0,0
32,28,2011,0.122,-0.653647026,0.342,paternal sib,4.1,0.1,0.8,0.7,0.875,0.94,0,0,0,0,0,0
30,29,2005,3.109,0.506369717,0.102,paternal sib,2.2,0.75,1,0.25,NA,NA,0,1,1,0,1,1
30,29,2006,1.125,0.088136089,0.102,paternal sib,2.2,0.8,1,0.2,NA,NA,0,1,0,0,0,1
30,29,2007,1.068,0.067442843,0.102,paternal sib,2.2,0.667,1,0.333,NA,NA,1,0,0,1,1,1
30,29,2008,1.303,0.147057671,0.102,paternal sib,2.2,0.5,1,0.5,NA,NA,0,0,0,1,0,1
30,29,2009,1.407,0.178113252,0.102,paternal sib,2.2,0.444,1,0.556,0.591,0.879,1,0,0,0,1,0
30,29,2010,0.39,-0.30980392,0.102,paternal sib,2.2,0.5,1,0.5,0.692,0.956,0,0,0,0,0,0
30,29,2011,0.597,-0.156767222,0.102,paternal sib,2.2,0.4,1,0.6,0.863,0.976,0,0,0,1,0,1
32,29,2005,0.237,-0.472370099,0.173,paternal sib,0.5,0.5,1,0.5,NA,NA,0,0,1,0,1,0
32,29,2006,0.479,-0.237321436,0.173,paternal sib,0.5,0.2,1,0.8,NA,NA,0,1,0,0,0,1
32,29,2007,0.085,-0.732828272,0.173,paternal sib,0.5,0.333,1,0.667,NA,NA,0,1,0,1,0,1
32,29,2008,0.226,-0.4867824,0.173,paternal sib,0.5,0,1,1,NA,NA,0,0,0,1,0,1
32,29,2009,0.107,-0.684029655,0.173,paternal sib,0.5,0.111,1,0.889,0.619,0.879,0,0,0,0,0,0
32,29,2010,0.37,-0.327902142,0.173,paternal sib,0.5,0.2,1,0.8,0.602,0.956,0,0,0,0,0,0
32,29,2011,0.338,-0.358525889,0.173,paternal sib,0.5,0.1,1,0.9,0.875,0.976,0,0,0,1,0,1
32,30,2005,1.493,0.202215776,0.565,full sib,2.7,0.5,0.75,0.25,NA,NA,0,0,0,1,0,1
32,30,2006,0.454,-0.256490235,0.565,full sib,2.7,0.2,0.8,0.6,NA,NA,0,1,0,1,0,1
32,30,2007,0.879,-0.009217308,0.565,full sib,2.7,0.333,0.667,0.334,NA,NA,0,1,1,0,1,1
32,30,2008,0.522,-0.206209615,0.565,full sib,2.7,0,0.5,0.5,NA,NA,0,0,0,0,0,0
32,30,2009,1.098,0.078456818,0.565,full sib,2.7,0.111,0.444,0.333,0.619,0.591,0,0,1,0,1,0
32,30,2010,1.306,0.147985321,0.565,full sib,2.7,0.2,0.5,0.3,0.602,0.692,0,0,0,0,0,0
32,30,2011,0.535,-0.197226275,0.565,full sib,2.7,0.1,0.4,0.3,0.875,0.863,0,0,0,0,0,0
